datetime,symbol,open,high,low,close,volume
2022-03-01 01:00:00,CRYPTO:AAVEUSD,145.9084090000,150.8966840000,139.7624210000,143.2533030000,0.0000000000
2022-03-02 01:00:00,CRYPTO:AAVEUSD,143.4699240000,146.3351250000,136.4360010000,137.7062050000,0.0000000000
2022-03-03 01:00:00,CRYPTO:AAVEUSD,137.6062500000,137.8035710000,126.5516190000,129.8795330000,0.0000000000
2022-03-04 01:00:00,CRYPTO:AAVEUSD,129.8303390000,131.8516300000,122.0511110000,124.0474600000,0.0000000000
2022-03-05 01:00:00,CRYPTO:AAVEUSD,124.0709620000,126.4837550000,122.1874200000,124.4329590000,0.0000000000
2022-03-06 01:00:00,CRYPTO:AAVEUSD,124.4486510000,125.6864530000,116.3559220000,116.6622680000,0.0000000000
2022-03-07 01:00:00,CRYPTO:AAVEUSD,116.8311570000,124.0215900000,113.3908140000,116.6875670000,0.0000000000
2022-03-08 01:00:00,CRYPTO:AAVEUSD,116.8507550000,125.4219490000,115.8296720000,121.8444180000,0.0000000000
2022-03-09 01:00:00,CRYPTO:AAVEUSD,121.7415080000,130.4227340000,121.5296010000,127.4502620000,0.0000000000
2022-03-10 01:00:00,CRYPTO:AAVEUSD,127.4787890000,128.2816800000,116.4953170000,119.2320790000,0.0000000000
2022-03-11 01:00:00,CRYPTO:AAVEUSD,119.2118340000,121.0989540000,114.7793850000,116.6161670000,0.0000000000
2022-03-12 01:00:00,CRYPTO:AAVEUSD,116.5338390000,121.4412230000,116.4538390000,120.2696220000,0.0000000000
2022-03-13 01:00:00,CRYPTO:AAVEUSD,120.1475240000,120.7601670000,115.1173410000,115.7013730000,0.0000000000
2022-03-14 01:00:00,CRYPTO:AAVEUSD,115.5808540000,121.2973600000,113.5335270000,118.3014470000,0.0000000000
2022-03-15 01:00:00,CRYPTO:AAVEUSD,118.2723170000,122.9574410000,114.0058920000,122.0879500000,0.0000000000
2022-03-16 01:00:00,CRYPTO:AAVEUSD,122.1401340000,142.0000970000,121.1817520000,141.7568050000,0.0000000000
2022-03-17 01:00:00,CRYPTO:AAVEUSD,141.7390990000,156.8170520000,136.9223280000,155.5492200000,0.0000000000
2022-03-18 01:00:00,CRYPTO:AAVEUSD,155.6840060000,164.5451630000,147.5726460000,160.1169270000,0.0000000000
2022-03-19 01:00:00,CRYPTO:AAVEUSD,160.1985530000,165.6711270000,155.1841520000,157.2274740000,0.0000000000
2022-03-20 01:00:00,CRYPTO:AAVEUSD,157.2464110000,159.1622230000,146.8329070000,152.6475620000,0.0000000000
2022-03-21 01:00:00,CRYPTO:AAVEUSD,152.7739830000,162.5085580000,147.1040560000,153.9483840000,0.0000000000
2022-03-22 01:00:00,CRYPTO:AAVEUSD,153.9218910000,162.2379560000,151.8561260000,152.9096470000,0.0000000000
2022-03-23 01:00:00,CRYPTO:AAVEUSD,152.8198390000,157.1835280000,149.8631100000,156.1061010000,0.0000000000
2022-03-24 01:00:00,CRYPTO:AAVEUSD,156.0912040000,172.6990560000,153.5009150000,168.2884610000,0.0000000000
2022-03-25 01:00:00,CRYPTO:AAVEUSD,168.1368950000,174.2962710000,160.4678800000,162.5682480000,0.0000000000
2022-03-26 01:00:00,CRYPTO:AAVEUSD,162.6134570000,166.8539500000,161.0708940000,163.4255470000,0.0000000000
2022-03-27 01:00:00,CRYPTO:AAVEUSD,163.3835930000,169.3187330000,158.7008340000,169.2282870000,0.0000000000
2022-03-28 02:00:00,CRYPTO:AAVEUSD,169.1413500000,179.0248940000,166.5808490000,167.7295830000,0.0000000000
2022-03-29 02:00:00,CRYPTO:AAVEUSD,167.6478730000,224.2164680000,167.3521010000,223.2922590000,0.0000000000
2022-03-30 02:00:00,CRYPTO:AAVEUSD,223.0944920000,242.0689410000,211.0173560000,223.0429860000,0.0000000000
2022-03-31 02:00:00,CRYPTO:AAVEUSD,223.3997530000,227.6342630000,203.9904990000,206.8999630000,0.0000000000
