datetime,symbol,open,high,low,close,volume
2021-07-01 02:00:00,CRYPTO:ADAUSD,1.3856900000,1.3869050000,1.3001040000,1.3336700000,0.0000000000
2021-07-02 02:00:00,CRYPTO:ADAUSD,1.3325240000,1.3960810000,1.2857650000,1.3953350000,0.0000000000
2021-07-03 02:00:00,CRYPTO:ADAUSD,1.3953720000,1.4441020000,1.3587600000,1.4049740000,0.0000000000
2021-07-04 02:00:00,CRYPTO:ADAUSD,1.4051990000,1.4954290000,1.3824860000,1.4619470000,0.0000000000
2021-07-05 02:00:00,CRYPTO:ADAUSD,1.4608090000,1.4616390000,1.3763980000,1.4041470000,0.0000000000
2021-07-06 02:00:00,CRYPTO:ADAUSD,1.4041970000,1.4577350000,1.3898410000,1.4165150000,0.0000000000
2021-07-07 02:00:00,CRYPTO:ADAUSD,1.4163690000,1.4416600000,1.3998660000,1.4043090000,0.0000000000
2021-07-08 02:00:00,CRYPTO:ADAUSD,1.4041360000,1.4071020000,1.3195990000,1.3279140000,0.0000000000
2021-07-09 02:00:00,CRYPTO:ADAUSD,1.3279230000,1.3743600000,1.2864440000,1.3503120000,0.0000000000
2021-07-10 02:00:00,CRYPTO:ADAUSD,1.3508410000,1.3658340000,1.3171730000,1.3355060000,0.0000000000
2021-07-11 02:00:00,CRYPTO:ADAUSD,1.3356670000,1.3672340000,1.3240910000,1.3480920000,0.0000000000
2021-07-12 02:00:00,CRYPTO:ADAUSD,1.3488800000,1.3780200000,1.2917630000,1.3129720000,0.0000000000
2021-07-13 02:00:00,CRYPTO:ADAUSD,1.3133680000,1.3209220000,1.2494670000,1.2651920000,0.0000000000
2021-07-14 02:00:00,CRYPTO:ADAUSD,1.2653040000,1.2897870000,1.1992030000,1.2632230000,0.0000000000
2021-07-15 02:00:00,CRYPTO:ADAUSD,1.2633100000,1.2900680000,1.2049370000,1.2253040000,0.0000000000
2021-07-16 02:00:00,CRYPTO:ADAUSD,1.2253690000,1.2449790000,1.1609270000,1.1715270000,0.0000000000
2021-07-17 02:00:00,CRYPTO:ADAUSD,1.1710440000,1.1952740000,1.1504290000,1.1725850000,0.0000000000
2021-07-18 02:00:00,CRYPTO:ADAUSD,1.1726670000,1.2188110000,1.1672630000,1.1814550000,0.0000000000
2021-07-19 02:00:00,CRYPTO:ADAUSD,1.1812740000,1.1917470000,1.1158920000,1.1221030000,0.0000000000
2021-07-20 02:00:00,CRYPTO:ADAUSD,1.1221670000,1.1364870000,1.0218080000,1.0549130000,0.0000000000
2021-07-21 02:00:00,CRYPTO:ADAUSD,1.0552700000,1.2233680000,1.0377410000,1.1702170000,0.0000000000
2021-07-22 02:00:00,CRYPTO:ADAUSD,1.1705290000,1.2082230000,1.1499870000,1.1854110000,0.0000000000
2021-07-23 02:00:00,CRYPTO:ADAUSD,1.1854530000,1.2085050000,1.1468750000,1.2077050000,0.0000000000
2021-07-24 02:00:00,CRYPTO:ADAUSD,1.2080110000,1.2493050000,1.1975360000,1.2338930000,0.0000000000
2021-07-25 02:00:00,CRYPTO:ADAUSD,1.2340940000,1.2399990000,1.1916490000,1.2296520000,0.0000000000
2021-07-26 02:00:00,CRYPTO:ADAUSD,1.2295480000,1.4005830000,1.2237590000,1.2554420000,0.0000000000
2021-07-27 02:00:00,CRYPTO:ADAUSD,1.2553480000,1.3165260000,1.2144610000,1.2805150000,0.0000000000
2021-07-28 02:00:00,CRYPTO:ADAUSD,1.2801750000,1.3193400000,1.2581810000,1.2875030000,0.0000000000
2021-07-29 02:00:00,CRYPTO:ADAUSD,1.2874790000,1.2990160000,1.2574190000,1.2855660000,0.0000000000
2021-07-30 02:00:00,CRYPTO:ADAUSD,1.2860860000,1.3178360000,1.2485810000,1.3111820000,0.0000000000
2021-07-31 02:00:00,CRYPTO:ADAUSD,1.3117350000,1.3333770000,1.2883280000,1.3202210000,0.0000000000
