datetime,symbol,open,high,low,close,volume
2024-06-01 02:00:00,CRYPTO:SOLUSD,165.5900000000,167.7200000000,165.5100000000,165.9800000000,0.0000000000
2024-06-02 02:00:00,CRYPTO:SOLUSD,165.9800000000,166.9700000000,161.2800000000,163.0200000000,0.0000000000
2024-06-03 02:00:00,CRYPTO:SOLUSD,163.0200000000,167.1000000000,161.7400000000,164.8100000000,0.0000000000
2024-06-04 02:00:00,CRYPTO:SOLUSD,164.8200000000,171.8200000000,164.4000000000,171.7500000000,0.0000000000
2024-06-05 02:00:00,CRYPTO:SOLUSD,171.7500000000,175.5600000000,171.1500000000,173.5300000000,0.0000000000
2024-06-06 02:00:00,CRYPTO:SOLUSD,173.5300000000,174.3500000000,167.6400000000,170.1500000000,0.0000000000
2024-06-07 02:00:00,CRYPTO:SOLUSD,170.1500000000,172.6900000000,153.4100000000,162.4500000000,0.0000000000
2024-06-08 02:00:00,CRYPTO:SOLUSD,162.4500000000,163.6700000000,157.3300000000,157.7600000000,0.0000000000
2024-06-09 02:00:00,CRYPTO:SOLUSD,157.7600000000,162.9800000000,156.5400000000,162.1000000000,0.0000000000
2024-06-10 02:00:00,CRYPTO:SOLUSD,162.1000000000,163.1300000000,157.4800000000,159.0300000000,0.0000000000
2024-06-11 02:00:00,CRYPTO:SOLUSD,159.0300000000,159.6500000000,145.1900000000,149.2500000000,0.0000000000
2024-06-12 02:00:00,CRYPTO:SOLUSD,149.2500000000,161.7300000000,145.4900000000,155.2000000000,0.0000000000
2024-06-13 02:00:00,CRYPTO:SOLUSD,155.2000000000,155.2000000000,146.0300000000,147.2200000000,0.0000000000
2024-06-14 02:00:00,CRYPTO:SOLUSD,147.2200000000,148.9300000000,139.6400000000,142.9900000000,0.0000000000
2024-06-15 02:00:00,CRYPTO:SOLUSD,142.9900000000,145.6700000000,142.8600000000,145.4300000000,0.0000000000
2024-06-16 02:00:00,CRYPTO:SOLUSD,145.4300000000,151.2000000000,142.9900000000,151.2000000000,0.0000000000
2024-06-17 02:00:00,CRYPTO:SOLUSD,151.2000000000,151.6400000000,139.8500000000,143.1900000000,0.0000000000
2024-06-18 02:00:00,CRYPTO:SOLUSD,143.1900000000,143.7100000000,128.2000000000,137.3500000000,0.0000000000
2024-06-19 02:00:00,CRYPTO:SOLUSD,137.3500000000,141.7900000000,134.4800000000,135.5700000000,0.0000000000
2024-06-20 02:00:00,CRYPTO:SOLUSD,135.5700000000,141.2000000000,131.8800000000,133.5200000000,0.0000000000
2024-06-21 02:00:00,CRYPTO:SOLUSD,133.5200000000,135.2800000000,128.7000000000,134.5000000000,0.0000000000
2024-06-22 02:00:00,CRYPTO:SOLUSD,134.5000000000,136.6200000000,133.0200000000,133.6200000000,0.0000000000
2024-06-23 02:00:00,CRYPTO:SOLUSD,133.6200000000,135.0300000000,128.1900000000,128.6200000000,0.0000000000
2024-06-24 02:00:00,CRYPTO:SOLUSD,128.6200000000,132.5100000000,122.2000000000,132.2400000000,0.0000000000
2024-06-25 02:00:00,CRYPTO:SOLUSD,132.2400000000,139.7800000000,131.1500000000,136.4800000000,0.0000000000
2024-06-26 02:00:00,CRYPTO:SOLUSD,136.4800000000,140.3500000000,134.8500000000,136.7700000000,0.0000000000
2024-06-27 02:00:00,CRYPTO:SOLUSD,136.7700000000,151.0200000000,135.1500000000,149.6100000000,0.0000000000
2024-06-28 02:00:00,CRYPTO:SOLUSD,149.6100000000,150.4600000000,138.8600000000,139.8300000000,0.0000000000
2024-06-29 02:00:00,CRYPTO:SOLUSD,139.8300000000,142.8900000000,139.4500000000,139.9900000000,0.0000000000
2024-06-30 02:00:00,CRYPTO:SOLUSD,139.9900000000,147.3200000000,136.9600000000,146.3900000000,0.0000000000
