datetime,symbol,open,high,low,close,volume
2022-07-01 02:00:00,CRYPTO:BTCUSD,19960.3900000000,20883.9300000000,18945.8600000000,19248.1100000000,0.0000000000
2022-07-02 02:00:00,CRYPTO:BTCUSD,19254.5600000000,19423.0400000000,18963.3800000000,19224.8400000000,0.0000000000
2022-07-03 02:00:00,CRYPTO:BTCUSD,19228.2900000000,19630.9000000000,18758.6400000000,19292.6700000000,0.0000000000
2022-07-04 02:00:00,CRYPTO:BTCUSD,19294.2200000000,20324.2700000000,19033.9800000000,20208.4600000000,0.0000000000
2022-07-05 02:00:00,CRYPTO:BTCUSD,20209.3800000000,20726.4100000000,19285.2200000000,20162.7100000000,0.0000000000
2022-07-06 02:00:00,CRYPTO:BTCUSD,20161.7500000000,20618.2400000000,19747.4300000000,20544.2000000000,0.0000000000
2022-07-07 02:00:00,CRYPTO:BTCUSD,20543.0800000000,21840.9900000000,20235.2600000000,21621.5200000000,0.0000000000
2022-07-08 02:00:00,CRYPTO:BTCUSD,21617.2500000000,22452.1800000000,21174.9900000000,21589.1000000000,0.0000000000
2022-07-09 02:00:00,CRYPTO:BTCUSD,21583.2200000000,21954.8900000000,21316.7800000000,21581.1900000000,0.0000000000
2022-07-10 02:00:00,CRYPTO:BTCUSD,21580.6400000000,21591.2300000000,20634.7100000000,20843.1200000000,0.0000000000
2022-07-11 02:00:00,CRYPTO:BTCUSD,20845.9300000000,20853.0200000000,19871.2200000000,19946.6100000000,0.0000000000
2022-07-12 02:00:00,CRYPTO:BTCUSD,19945.3800000000,20034.0000000000,19227.9200000000,19310.9500000000,0.0000000000
2022-07-13 02:00:00,CRYPTO:BTCUSD,19315.2600000000,20338.8300000000,18904.4100000000,20229.5800000000,0.0000000000
2022-07-14 02:00:00,CRYPTO:BTCUSD,20222.1200000000,20891.9300000000,19609.2200000000,20576.5600000000,0.0000000000
2022-07-15 02:00:00,CRYPTO:BTCUSD,20575.2400000000,21188.9600000000,20371.8700000000,20828.6300000000,0.0000000000
2022-07-16 02:00:00,CRYPTO:BTCUSD,20825.3800000000,21576.7500000000,20477.4300000000,21196.9000000000,0.0000000000
2022-07-17 02:00:00,CRYPTO:BTCUSD,21190.9000000000,21662.4800000000,20755.1000000000,20793.2900000000,0.0000000000
2022-07-18 02:00:00,CRYPTO:BTCUSD,20790.0200000000,22767.5300000000,20761.8400000000,22438.4000000000,0.0000000000
2022-07-19 02:00:00,CRYPTO:BTCUSD,22441.3800000000,23795.0600000000,21586.3500000000,23402.5300000000,0.0000000000
2022-07-20 02:00:00,CRYPTO:BTCUSD,23399.6100000000,24277.9600000000,22922.3300000000,23223.9600000000,0.0000000000
2022-07-21 02:00:00,CRYPTO:BTCUSD,23218.6900000000,23431.6800000000,22348.6300000000,23158.9500000000,0.0000000000
2022-07-22 02:00:00,CRYPTO:BTCUSD,23156.2600000000,23755.2000000000,22514.3200000000,22684.2500000000,0.0000000000
2022-07-23 02:00:00,CRYPTO:BTCUSD,22690.4300000000,23000.2700000000,21947.3000000000,22459.1500000000,0.0000000000
2022-07-24 02:00:00,CRYPTO:BTCUSD,22459.7200000000,23012.7500000000,22268.4500000000,22586.2200000000,0.0000000000
2022-07-25 02:00:00,CRYPTO:BTCUSD,22586.2300000000,22664.9000000000,21260.1200000000,21306.5600000000,0.0000000000
2022-07-26 02:00:00,CRYPTO:BTCUSD,21308.5800000000,21337.1200000000,20709.2600000000,21264.8700000000,0.0000000000
2022-07-27 02:00:00,CRYPTO:BTCUSD,21263.1200000000,23119.0400000000,21050.1900000000,22964.4300000000,0.0000000000
2022-07-28 02:00:00,CRYPTO:BTCUSD,22969.7700000000,24200.1700000000,22566.1200000000,23855.8800000000,0.0000000000
2022-07-29 02:00:00,CRYPTO:BTCUSD,23852.5400000000,24459.8000000000,23439.8600000000,23789.6000000000,0.0000000000
2022-07-30 02:00:00,CRYPTO:BTCUSD,23788.0700000000,24675.0300000000,23524.7300000000,23645.0800000000,0.0000000000
2022-07-31 02:00:00,CRYPTO:BTCUSD,23648.5800000000,24189.3200000000,23246.0100000000,23315.9500000000,0.0000000000
