datetime,symbol,open,high,low,close,volume
2021-01-01 01:00:00,CRYPTO:ETHUSD,737.5975,750.125,716.9,731.06,0.0
2021-01-02 01:00:00,CRYPTO:ETHUSD,731.2375,788.74,717.2575,775.205,0.0
2021-01-03 01:00:00,CRYPTO:ETHUSD,775.2575,1013.87,769.86,979.4725,0.0
2021-01-04 01:00:00,CRYPTO:ETHUSD,980.1675,1167.965,888.8025,1042.6925,0.0
2021-01-05 01:00:00,CRYPTO:ETHUSD,1044.575,1135.725,975.095,1103.39,0.0
2021-01-06 01:00:00,CRYPTO:ETHUSD,1103.19,1215.7025,1059.1925,1212.275,0.0
2021-01-07 01:00:00,CRYPTO:ETHUSD,1212.8525,1290.9875,1148.135,1226.64,0.0
2021-01-08 01:00:00,CRYPTO:ETHUSD,1227.4475,1275.02,1064.7275,1218.1675,0.0
2021-01-09 01:00:00,CRYPTO:ETHUSD,1218.9275,1308.8825,1172.7875,1280.7275,0.0
2021-01-10 01:00:00,CRYPTO:ETHUSD,1281.4625,1351.3375,1152.0775,1255.285,0.0
2021-01-11 01:00:00,CRYPTO:ETHUSD,1256.24,1259.815,909.34,1088.53,0.0
2021-01-12 01:00:00,CRYPTO:ETHUSD,1088.2075,1151.195,1003.34,1049.43,0.0
2021-01-13 01:00:00,CRYPTO:ETHUSD,1049.315,1137.2725,983.87,1130.6825,0.0
2021-01-14 01:00:00,CRYPTO:ETHUSD,1130.425,1246.785,1087.3225,1231.6475,0.0
2021-01-15 01:00:00,CRYPTO:ETHUSD,1231.9225,1256.2125,1065.0625,1169.2125,0.0
2021-01-16 01:00:00,CRYPTO:ETHUSD,1169.6725,1293.0575,1152.655,1228.1675,0.0
2021-01-17 01:00:00,CRYPTO:ETHUSD,1227.6225,1268.7675,1165.7325,1233.205,0.0
2021-01-18 01:00:00,CRYPTO:ETHUSD,1232.9425,1260.935,1183.0175,1258.3075,0.0
2021-01-19 01:00:00,CRYPTO:ETHUSD,1258.4825,1440.0225,1251.9425,1368.435,0.0
2021-01-20 01:00:00,CRYPTO:ETHUSD,1367.885,1407.945,1234.4625,1377.765,0.0
2021-01-21 01:00:00,CRYPTO:ETHUSD,1378.005,1389.7175,1080.945,1110.665,0.0
2021-01-22 01:00:00,CRYPTO:ETHUSD,1110.8325,1275.5325,1039.0575,1234.475,0.0
2021-01-23 01:00:00,CRYPTO:ETHUSD,1233.2775,1272.9675,1197.6075,1234.3775,0.0
2021-01-24 01:00:00,CRYPTO:ETHUSD,1234.3,1400.48,1221.7675,1393.0775,0.0
2021-01-25 01:00:00,CRYPTO:ETHUSD,1394.0925,1476.385,1292.9275,1318.22,0.0
2021-01-26 01:00:00,CRYPTO:ETHUSD,1317.4725,1378.5875,1245.49,1367.9925,0.0
2021-01-27 01:00:00,CRYPTO:ETHUSD,1367.4975,1375.2275,1204.67,1240.565,0.0
2021-01-28 01:00:00,CRYPTO:ETHUSD,1240.79,1362.7075,1219.2975,1332.6525,0.0
2021-01-29 01:00:00,CRYPTO:ETHUSD,1333.325,1441.2525,1287.5325,1378.94,0.0
2021-01-30 01:00:00,CRYPTO:ETHUSD,1381.2075,1406.225,1327.34,1378.93,0.0
2021-01-31 01:00:00,CRYPTO:ETHUSD,1378.8,1381.3825,1282.785,1313.8225,0.0
