datetime,symbol,open,high,low,close,volume
2021-01-01 01:00:00,CRYPTO:SHIBUSD,7.397e-11,7.485e-11,7.241e-11,7.312e-11,0.0
2021-01-02 01:00:00,CRYPTO:SHIBUSD,7.312e-11,7.877e-11,7.214e-11,7.747e-11,0.0
2021-01-03 01:00:00,CRYPTO:SHIBUSD,7.747e-11,9.98e-11,7.717e-11,9.98e-11,0.0
2021-01-04 01:00:00,CRYPTO:SHIBUSD,9.98e-11,1.1426e-10,9.257e-11,1.023e-10,0.0
2021-01-05 01:00:00,CRYPTO:SHIBUSD,1.023e-10,1.1139e-10,9.819e-11,1.0973e-10,0.0
2021-01-06 01:00:00,CRYPTO:SHIBUSD,1.0973e-10,1.2068e-10,1.0627e-10,1.1889e-10,0.0
2021-01-07 01:00:00,CRYPTO:SHIBUSD,1.1889e-10,1.2752e-10,1.1699e-10,1.2187e-10,0.0
2021-01-08 01:00:00,CRYPTO:SHIBUSD,1.2187e-10,1.2641e-10,1.1011e-10,1.2212e-10,0.0
2021-01-09 01:00:00,CRYPTO:SHIBUSD,1.2212e-10,1.2979e-10,1.1818e-10,1.2873e-10,0.0
2021-01-10 01:00:00,CRYPTO:SHIBUSD,1.2873e-10,1.3436e-10,1.2254e-10,1.2687e-10,0.0
2021-01-11 01:00:00,CRYPTO:SHIBUSD,1.2687e-10,1.2687e-10,9.303e-11,1.0743e-10,0.0
2021-01-12 01:00:00,CRYPTO:SHIBUSD,1.0743e-10,1.2307e-10,1.0495e-10,1.1416e-10,0.0
2021-01-13 01:00:00,CRYPTO:SHIBUSD,1.1416e-10,1.2452e-10,1.1027e-10,1.2388e-10,0.0
2021-01-14 01:00:00,CRYPTO:SHIBUSD,1.2388e-10,1.363e-10,1.2011e-10,1.3228e-10,0.0
2021-01-15 01:00:00,CRYPTO:SHIBUSD,1.3228e-10,1.3735e-10,1.2094e-10,1.2809e-10,0.0
2021-01-16 01:00:00,CRYPTO:SHIBUSD,1.2809e-10,1.3136e-10,1.1824e-10,1.2364e-10,0.0
2021-01-17 01:00:00,CRYPTO:SHIBUSD,1.2364e-10,1.2646e-10,1.1773e-10,1.2495e-10,0.0
2021-01-18 01:00:00,CRYPTO:SHIBUSD,1.2495e-10,1.2495e-10,1.1931e-10,1.2439e-10,0.0
2021-01-19 01:00:00,CRYPTO:SHIBUSD,1.2439e-10,1.4294e-10,1.2439e-10,1.3888e-10,0.0
2021-01-20 01:00:00,CRYPTO:SHIBUSD,1.3888e-10,1.4031e-10,1.2459e-10,1.3592e-10,0.0
2021-01-21 01:00:00,CRYPTO:SHIBUSD,1.3592e-10,1.3725e-10,1.1187e-10,1.1372e-10,0.0
2021-01-22 01:00:00,CRYPTO:SHIBUSD,1.1372e-10,1.2711e-10,1.0539e-10,1.2381e-10,0.0
2021-01-23 01:00:00,CRYPTO:SHIBUSD,1.2381e-10,1.2692e-10,1.2079e-10,1.2366e-10,0.0
2021-01-24 01:00:00,CRYPTO:SHIBUSD,1.2366e-10,1.3835e-10,1.2266e-10,1.3835e-10,0.0
2021-01-25 01:00:00,CRYPTO:SHIBUSD,1.3835e-10,1.4562e-10,1.3112e-10,1.3258e-10,0.0
2021-01-26 01:00:00,CRYPTO:SHIBUSD,1.3258e-10,1.3718e-10,1.2597e-10,1.3641e-10,0.0
2021-01-27 01:00:00,CRYPTO:SHIBUSD,1.3641e-10,1.3671e-10,1.2136e-10,1.2411e-10,0.0
2021-01-28 01:00:00,CRYPTO:SHIBUSD,1.2411e-10,1.3571e-10,1.2321e-10,1.3524e-10,0.0
2021-01-29 01:00:00,CRYPTO:SHIBUSD,1.3524e-10,1.5464e-10,1.2981e-10,1.525e-10,0.0
2021-01-30 01:00:00,CRYPTO:SHIBUSD,1.525e-10,8.28601e-09,1.4747e-10,4.6024e-09,0.0
2021-01-31 01:00:00,CRYPTO:SHIBUSD,4.6024e-09,6.000637e-08,4.39437e-09,3.345799e-08,0.0
